                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.42766,                0.54931,                0.36133,                0.85824,                0.93994,                0.90393,                0.96934,                0.91005,                0.93969,                0.90427,                0.96965,                0.89981,                 0.4133,                0.49146,                0.37202,                0.82711,              0.0014128,              0.0014128,              0.0014128
                     80,                 0.4241,                0.55167,                0.36565,                0.85027,                0.93625,                0.90149,                0.96169,                0.90803,                0.93583,                0.90109,                0.96123,                0.89911,                0.39637,                0.49027,                0.38925,                  0.823,              0.0014095,              0.0014095,              0.0014095
                     81,                 0.4163,                0.53242,                0.34889,                0.85188,                0.94217,                0.89476,                  0.966,                0.91425,                0.94023,                0.89516,                0.96588,                0.90478,                0.38034,                0.48358,                0.38695,                0.82204,              0.0014062,              0.0014062,              0.0014062
                     82,                 0.4227,                0.55174,                0.36122,                0.85134,                0.93568,                0.89521,                0.96715,                 0.9199,                0.93665,                0.89591,                 0.9675,                0.90722,                0.36338,                0.48787,                0.35647,                0.81955,              0.0014029,              0.0014029,              0.0014029
                     83,                0.42757,                0.55396,                 0.3626,                0.85421,                0.93892,                0.89252,                0.96269,                0.91688,                 0.9378,                0.89169,                0.96243,                0.89753,                0.35174,                0.50674,                0.37527,                0.81552,              0.0013996,              0.0013996,              0.0013996
                     84,                 0.4348,                0.55231,                0.36924,                0.85005,                0.95739,                0.86462,                0.96253,                0.90725,                0.95739,                0.86462,                 0.9623,                0.89597,                0.38486,                0.49164,                0.38997,                0.81905,              0.0013963,              0.0013963,              0.0013963
                     85,                  0.428,                0.54018,                0.36872,                0.84825,                0.93911,                0.88075,                0.95539,                0.90547,                0.93981,                0.88054,                0.95589,                0.89062,                0.37049,                0.50057,                  0.412,                0.81657,               0.001393,               0.001393,               0.001393
                     86,                0.42581,                0.56232,                0.35865,                0.84834,                0.93067,                0.90729,                0.96466,                0.90211,                 0.9313,                0.90792,                0.96569,                0.88413,                0.42428,                0.52852,                0.38285,                0.82892,              0.0013897,              0.0013897,              0.0013897
                     87,                0.40329,                0.52956,                 0.3445,                0.84565,                0.93753,                0.90782,                0.96457,                0.91022,                0.93753,                0.90782,                0.96458,                0.89804,                0.40533,                0.49175,                 0.3798,                0.82296,              0.0013864,              0.0013864,              0.0013864
                     88,                0.42667,                0.55602,                0.36457,                0.85179,                0.93177,                0.89755,                0.96126,                0.90779,                0.93019,                0.90226,                0.96187,                0.89866,                0.40038,                0.50786,                0.38571,                0.82338,              0.0013831,              0.0013831,              0.0013831
                     89,                0.41637,                0.53543,                0.35439,                 0.8516,                0.94297,                0.89218,                0.95864,                0.90813,                 0.9434,                0.89258,                0.95924,                0.89886,                0.37953,                0.48748,                0.37823,                0.81714,              0.0013798,              0.0013798,              0.0013798
                     90,                0.42641,                0.55479,                0.34781,                0.85404,                0.93809,                0.89199,                0.95816,                0.90948,                0.92497,                0.90411,                0.95787,                0.90201,                0.38033,                0.50102,                0.38351,                0.81995,              0.0013765,              0.0013765,              0.0013765
                     91,                0.42052,                0.54364,                0.35455,                0.84897,                0.93037,                0.90058,                0.96215,                0.91323,                0.92998,                0.90296,                0.96288,                0.90707,                 0.3832,                0.48255,                0.37869,                0.82002,              0.0013732,              0.0013732,              0.0013732
                     92,                0.41599,                0.53598,                0.34664,                0.85027,                0.94543,                0.88634,                0.95464,                0.90598,                0.94587,                0.88675,                0.95509,                 0.9016,                0.37778,                0.48306,                 0.3771,                0.82044,              0.0013699,              0.0013699,              0.0013699
                     93,                0.41988,                0.53716,                0.35062,                0.84931,                0.94229,                0.89963,                0.96258,                0.91045,                0.93955,                0.90057,                0.96248,                0.89826,                 0.4027,                0.49469,                0.37414,                 0.8259,              0.0013666,              0.0013666,              0.0013666
                     94,                0.40856,                0.52939,                0.34526,                0.84822,                 0.9529,                0.89978,                0.96394,                0.91607,                0.95334,                0.90019,                0.96457,                0.90217,                0.37277,                0.47996,                0.36623,                0.81816,              0.0013633,              0.0013633,              0.0013633
                     95,                0.41371,                0.53763,                0.34996,                0.84531,                0.93641,                0.90137,                0.96792,                0.91768,                0.93641,                0.90137,                0.96862,                0.91015,                0.38359,                0.49498,                0.35125,                 0.8249,                0.00136,                0.00136,                0.00136
                     96,                0.42335,                0.55201,                0.34763,                0.84818,                0.92511,                0.90942,                0.96799,                0.91135,                0.92564,                0.90813,                 0.9681,                0.89716,                0.41249,                 0.4861,                0.36276,                0.82556,              0.0013567,              0.0013567,              0.0013567
                     97,                0.41943,                0.53518,                0.34427,                0.85097,                0.95051,                0.88955,                0.96687,                0.91795,                0.94687,                0.89168,                0.96807,                0.90065,                0.40159,                 0.4979,                  0.354,                0.82479,              0.0013534,              0.0013534,              0.0013534
                     98,                0.41864,                0.53802,                0.34593,                0.84808,                0.93508,                0.90818,                0.96718,                0.91566,                0.93444,                0.90755,                0.96732,                0.90244,                0.37815,                0.49575,                0.35778,                0.82038,              0.0013501,              0.0013501,              0.0013501
                     99,                 0.3997,                0.52327,                0.34005,                0.84558,                0.94114,                0.88891,                0.96432,                0.91865,                0.94311,                0.89096,                0.96486,                0.90437,                 0.3509,                0.48001,                0.35544,                0.81287,              0.0013468,              0.0013468,              0.0013468
                    100,                0.42224,                 0.5517,                0.34624,                0.84539,                0.92724,                0.89832,                0.96713,                0.92004,                0.92659,                0.89748,                0.96717,                 0.9102,                0.36823,                0.48508,                0.36134,                0.81443,              0.0013435,              0.0013435,              0.0013435
                    101,                0.41899,                0.54068,                0.35111,                0.85298,                0.94345,                0.89572,                 0.9673,                0.92109,                0.94496,                0.89717,                0.96964,                0.91148,                0.35646,                0.48223,                0.34773,                0.81775,              0.0013402,              0.0013402,              0.0013402
                    102,                0.42972,                0.55345,                0.35941,                0.85327,                 0.9359,                0.90449,                0.96435,                0.91449,                 0.9359,                0.90449,                0.96605,                0.89687,                0.36508,                0.48374,                0.37741,                0.81684,              0.0013369,              0.0013369,              0.0013369
                    103,                0.41857,                 0.5419,                0.35384,                0.84633,                0.94805,                0.88896,                0.96363,                0.91348,                0.94805,                0.88896,                0.96517,                0.90173,                0.37249,                0.48567,                0.35962,                0.81815,              0.0013336,              0.0013336,              0.0013336
                    104,                0.41939,                0.54067,                0.34694,                 0.8464,                0.93649,                0.89035,                0.95867,                0.90446,                0.93723,                0.89145,                0.95968,                 0.8892,                0.38306,                0.48844,                0.36357,                0.81858,              0.0013303,              0.0013303,              0.0013303
                    105,                0.39903,                 0.5182,                0.33249,                0.84464,                0.93054,                0.90375,                0.96519,                 0.9188,                0.93009,                 0.9069,                0.96625,                0.90586,                0.35644,                0.47024,                0.34704,                0.81409,               0.001327,               0.001327,               0.001327
                    106,                0.40535,                0.52514,                0.34088,                0.84252,                0.92819,                0.90388,                0.96892,                0.91869,                0.92927,                0.90493,                0.96992,                0.90402,                0.37421,                0.47983,                0.35844,                0.82006,              0.0013237,              0.0013237,              0.0013237
