                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.14726,                 0.3334,                0.02934,                0.91424,                0.87846,                0.96175,                0.91047,                0.13359,                0.39482,                0.02869,              0.0012775,              0.0012775,              0.0012775
                    121,                0.14398,                0.33716,                0.02792,                0.90299,                0.88855,                0.96303,                0.90687,                 0.1377,                 0.3944,                0.02849,              0.0012742,              0.0012742,              0.0012742
                    122,                0.14249,                0.33245,                0.02852,                0.90232,                0.88169,                 0.9624,                0.90644,                0.12962,                0.37831,                0.02586,              0.0012709,              0.0012709,              0.0012709
                    123,                0.14572,                0.32559,                0.02989,                0.88849,                0.88992,                0.96189,                0.90654,                0.13193,                0.39051,                0.02623,              0.0012676,              0.0012676,              0.0012676
                    124,                0.15158,                0.32012,                0.03076,                0.90399,                0.87822,                0.96211,                0.90585,                0.14268,                0.39937,                0.03339,              0.0012643,              0.0012643,              0.0012643
                    125,                0.14501,                0.32893,                0.02932,                0.90953,                0.87901,                0.96242,                0.90668,                0.13761,                0.39642,                0.03001,               0.001261,               0.001261,               0.001261
                    126,                0.14733,                0.32166,                0.03097,                0.89481,                0.89653,                0.96221,                 0.9096,                0.13748,                0.37052,                0.02938,              0.0012577,              0.0012577,              0.0012577
                    127,                0.14627,                0.31901,                0.02887,                0.89315,                0.88703,                0.96183,                0.90774,                0.13881,                0.37792,                0.03118,              0.0012544,              0.0012544,              0.0012544
                    128,                 0.1448,                 0.3119,                0.02933,                0.89857,                0.88273,                0.96051,                 0.9117,                0.13734,                0.38792,                0.03186,              0.0012511,              0.0012511,              0.0012511
                    129,                0.15115,                0.31831,                 0.0293,                0.88577,                0.89676,                0.96086,                0.90983,                0.13221,                0.38005,                0.02699,              0.0012478,              0.0012478,              0.0012478
                    130,                0.15257,                0.31911,                0.03114,                0.89196,                0.89079,                0.96167,                0.89969,                 0.1479,                0.39645,                0.02887,              0.0012445,              0.0012445,              0.0012445
                    131,                0.15297,                0.32322,                0.02943,                0.89635,                0.88593,                0.96064,                0.89456,                0.16131,                 0.3854,                0.03279,              0.0012412,              0.0012412,              0.0012412
                    132,                0.15488,                 0.3289,                0.02933,                0.87627,                0.90085,                0.95964,                0.89052,                0.16683,                0.39022,                0.03122,              0.0012379,              0.0012379,              0.0012379
                    133,                0.14532,                0.31537,                 0.0285,                0.87114,                0.90914,                0.96177,                 0.9066,                0.14798,                0.38619,                0.03367,              0.0012346,              0.0012346,              0.0012346
                    134,                 0.1454,                0.31884,                0.02826,                0.89082,                0.88634,                0.95823,                0.90182,                0.14783,                0.38049,                0.03192,              0.0012313,              0.0012313,              0.0012313
                    135,                0.13989,                0.31925,                0.02724,                0.88758,                0.89155,                0.95947,                0.90772,                0.13903,                0.38089,                0.03054,               0.001228,               0.001228,               0.001228
                    136,                0.13542,                 0.3055,                0.02647,                0.88409,                0.90317,                0.96281,                0.91148,                0.14143,                0.38009,                 0.0317,              0.0012247,              0.0012247,              0.0012247
                    137,                0.13895,                0.31671,                0.02764,                0.87869,                0.89847,                0.96139,                0.91154,                 0.1288,                 0.3857,                0.02731,              0.0012214,              0.0012214,              0.0012214
                    138,                0.14056,                0.30964,                0.02739,                0.89836,                0.87686,                0.95981,                 0.9085,                0.14867,                 0.3702,                0.03599,              0.0012181,              0.0012181,              0.0012181
                    139,                0.13735,                0.31105,                0.02615,                0.88514,                0.89347,                0.96118,                0.90832,                0.14145,                0.39793,                0.03142,              0.0012148,              0.0012148,              0.0012148
                    140,                0.14112,                0.31255,                0.02885,                0.88843,                0.89747,                 0.9641,                0.90552,                 0.1465,                0.38809,                0.03313,              0.0012115,              0.0012115,              0.0012115
                    141,                0.13905,                0.31185,                0.02783,                0.87996,                0.90431,                0.96135,                0.90895,                0.14541,                 0.3663,                0.03278,              0.0012082,              0.0012082,              0.0012082
                    142,                0.13509,                0.30714,                0.02724,                0.88773,                0.88748,                0.95969,                0.90951,                0.14684,                0.38157,                 0.0321,              0.0012049,              0.0012049,              0.0012049
                    143,                0.13792,                0.31337,                0.02714,                0.90686,                0.88168,                0.96282,                0.91142,                0.13421,                0.40119,                0.03024,              0.0012016,              0.0012016,              0.0012016
                    144,                0.13698,                0.31129,                0.02691,                 0.9046,                 0.8765,                0.96287,                0.90844,                0.14154,                0.38434,                0.03159,              0.0011983,              0.0011983,              0.0011983
                    145,                0.12794,                0.29871,                0.02416,                0.89259,                0.89191,                 0.9616,                0.91065,                0.13045,                 0.3897,                0.02743,               0.001195,               0.001195,               0.001195
                    146,                0.13434,                 0.3043,                 0.0267,                0.88872,                0.89526,                0.96269,                0.91328,                0.13548,                0.38236,                0.02929,              0.0011917,              0.0011917,              0.0011917
                    147,                0.13198,                0.30969,                0.02495,                0.88071,                0.89271,                0.96141,                0.91236,                0.12941,                0.37838,                0.02646,              0.0011884,              0.0011884,              0.0011884
                    148,                0.15199,                0.32592,                0.02912,                0.90399,                0.88667,                0.96197,                0.89919,                0.15913,                 0.3935,                0.03596,              0.0011851,              0.0011851,              0.0011851
                    149,                0.14379,                0.31568,                0.02838,                0.89297,                 0.8967,                0.96341,                0.90676,                0.14457,                0.39116,                0.03173,              0.0011818,              0.0011818,              0.0011818
                    150,                0.13588,                0.30876,                0.02622,                0.88727,                0.89265,                0.96234,                0.91174,                0.13864,                0.37282,                0.03188,              0.0011785,              0.0011785,              0.0011785
                    151,                0.13201,                0.29401,                0.02541,                0.89706,                0.87739,                0.96009,                0.91638,                0.12763,                 0.3826,                0.02915,              0.0011752,              0.0011752,              0.0011752
                    152,                0.13114,                0.30157,                0.02481,                0.89264,                0.88384,                0.96111,                0.91626,                0.12996,                0.38168,                0.02905,              0.0011719,              0.0011719,              0.0011719
                    153,                 0.1249,                0.30543,                0.02207,                0.89447,                0.88644,                0.96135,                0.91579,                0.12655,                0.37301,                0.02776,              0.0011686,              0.0011686,              0.0011686
                    154,                0.13041,                0.30783,                0.02481,                0.89649,                0.87848,                0.96284,                 0.9167,                0.13092,                0.40169,                0.03035,              0.0011653,              0.0011653,              0.0011653
                    155,                0.13885,                0.31955,                0.02685,                0.91742,                0.87388,                0.96299,                0.91829,                 0.1248,                 0.3705,                0.02831,               0.001162,               0.001162,               0.001162
