                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                0.54954,                0.32463,                0.84727,                0.94176,                0.87897,                 0.9619,                0.89997,                0.40938,                0.34712,                0.79992,              0.0012313,              0.0012313,              0.0012313
                    135,                  0.553,                0.32232,                0.84942,                0.93938,                0.90257,                0.96861,                0.89983,                0.45721,                0.34167,                0.80285,               0.001228,               0.001228,               0.001228
                    136,                0.53978,                0.32706,                0.84259,                0.92288,                0.91535,                0.96975,                0.89758,                0.47605,                0.34083,                0.80757,              0.0012247,              0.0012247,              0.0012247
                    137,                0.54631,                0.32275,                0.84262,                0.92633,                0.90896,                0.96614,                0.90076,                0.45242,                0.33853,                 0.8027,              0.0012214,              0.0012214,              0.0012214
                    138,                0.54068,                0.32422,                0.84513,                0.93389,                0.88804,                0.96695,                0.89902,                0.45118,                0.34221,                0.80129,              0.0012181,              0.0012181,              0.0012181
                    139,                0.53102,                0.31759,                0.84298,                0.93548,                 0.8995,                0.96648,                0.89169,                0.49085,                0.35005,                0.81148,              0.0012148,              0.0012148,              0.0012148
                    140,                0.55566,                0.33999,                 0.8514,                0.93401,                0.89674,                0.96619,                0.90399,                0.43243,                0.34519,                0.80639,              0.0012115,              0.0012115,              0.0012115
                    141,                 0.5369,                0.32746,                0.84601,                0.94428,                0.88662,                0.96745,                0.90305,                0.45098,                0.34388,                0.80572,              0.0012082,              0.0012082,              0.0012082
                    142,                0.54067,                 0.3319,                0.84603,                0.92271,                0.90595,                0.96662,                0.90299,                0.43317,                0.34112,                0.80129,              0.0012049,              0.0012049,              0.0012049
                    143,                0.53209,                0.32215,                0.84641,                0.93572,                0.90185,                0.96909,                0.90492,                0.45162,                0.35322,                0.80532,              0.0012016,              0.0012016,              0.0012016
                    144,                0.54128,                0.32432,                0.84377,                0.93125,                0.90826,                0.96903,                0.88711,                0.51684,                0.35526,                0.81712,              0.0011983,              0.0011983,              0.0011983
                    145,                0.54656,                0.32787,                0.84893,                0.93484,                0.90851,                0.96872,                0.90528,                0.44429,                0.33309,                0.80521,               0.001195,               0.001195,               0.001195
                    146,                0.54708,                0.32677,                0.84535,                0.90052,                 0.8791,                0.95935,                0.89392,                0.43591,                0.35534,                0.79998,              0.0011917,              0.0011917,              0.0011917
                    147,                 0.5347,                0.32227,                0.84695,                0.95238,                0.81553,                 0.9494,                0.87015,                0.51094,                0.47952,                0.81203,              0.0011884,              0.0011884,              0.0011884
                    148,                0.54327,                0.31957,                0.84869,                0.93624,                0.87424,                0.95521,                0.89106,                0.43855,                0.36855,                0.80266,              0.0011851,              0.0011851,              0.0011851
                    149,                0.52234,                0.33471,                0.84437,                0.90389,                0.89763,                0.93044,                0.86738,                0.45103,                0.35398,                0.80086,              0.0011818,              0.0011818,              0.0011818
                    150,                0.53659,                0.33101,                0.84521,                0.94546,                0.89473,                0.96623,                0.89156,                0.49527,                0.34651,                  0.815,              0.0011785,              0.0011785,              0.0011785
                    151,                0.54769,                0.33066,                 0.8441,                0.93554,                0.89367,                0.96179,                0.89951,                0.41623,                0.34453,                0.80201,              0.0011752,              0.0011752,              0.0011752
                    152,                0.54082,                0.32175,                0.84681,                0.94053,                0.89856,                0.96701,                0.89726,                0.47944,                0.35141,                0.81022,              0.0011719,              0.0011719,              0.0011719
                    153,                0.56745,                0.33813,                0.85288,                0.93424,                0.90149,                0.96697,                0.89496,                0.47462,                0.35053,                0.81255,              0.0011686,              0.0011686,              0.0011686
                    154,                0.56789,                0.34136,                0.85098,                0.93254,                0.90091,                0.96948,                0.90424,                0.43614,                0.34596,                0.80597,              0.0011653,              0.0011653,              0.0011653
                    155,                0.59179,                0.35005,                0.85695,                0.92809,                0.88422,                0.96498,                0.89888,                 0.4399,                0.36835,                0.80425,               0.001162,               0.001162,               0.001162
                    156,                0.55502,                0.33319,                0.84641,                0.93717,                0.90339,                0.96867,                0.89233,                0.47157,                0.35347,                0.81046,              0.0011587,              0.0011587,              0.0011587
